keyword,sentiment,strength
accommodative,positive,1.0
acquisition,positive,1.0
AI,positive,1.0
ai breakthrough,positive,1.5
alliance,positive,1.0
approval,positive,1.0
asset purchases,positive,1.0
avoid,negative,1.0
bankruptcy,negative,1.0
bear market,negative,1.0
bearish,negative,1.0
beat expectations,positive,1.0
big cuts,positive,1.0
brand loyalty,positive,1.0
breakthrough,positive,1.0
bull case,positive,1.0
bull case theory,positive,1.0
bullish,positive,1.0
bullish outlook,positive,1.0
buy case,positive,1.0
buy rating,positive,1.0
buyout,positive,1.0
cash burn,negative,1.0
cash generation,positive,1.0
cash injection,positive,1.0
central bank support,positive,1.0
chip demand,positive,1.0
cloud expansion,positive,1.3
cloud growth,positive,1.0
commodity prices,positive,1.0
competition,negative,1.0
competitive advantage,positive,1.0
concern,negative,1.0
confidence,positive,1.0
consumer confidence,positive,1.0
contraction,negative,1.0
contract win,positive,1.3
correction,negative,1.0
cpi,negative,1.0
crash,negative,1.0
currency debasement,positive,1.0
cut rates,positive,1.0
cybersecurity,positive,1.0
data breach,negative,1.5
deal secured,positive,1.0
debt burden,negative,1.0
debt reduction,positive,1.0
decline,negative,1.0
declining sales,negative,1.0
default,negative,1.0
delay,negative,1.0
digital transformation,positive,1.0
disruption,negative,1.0
dividend cut,negative,1.0
dividend hike,positive,1.0
dividend increase,positive,1.0
dividend suspension,negative,1.0
dollar weakness,positive,1.0
dovish,positive,1.0
downgrade,negative,1.2
downturn,negative,1.0
drug launch,positive,1.0
earnings beat,positive,1.0
earnings miss,negative,1.5
environmental concerns,negative,1.0
executive departure,negative,1.2
expansion,positive,1.0
FDA approval,positive,1.0
fear,negative,1.0
fed support,positive,1.0
fine,negative,1.0
fiscal stimulus,positive,1.0
forecast lowered,negative,1.0
fragile,negative,1.0
free cash flow,positive,1.0
geopolitical risk,negative,1.0
geopolitical tension,positive,1.0
gold demand,positive,1.0
gold shortage,positive,1.0
government stimulus,positive,1.0
growth,positive,1.0
guidance cut,negative,1.4
guidance raise,positive,1.4
hawkish,negative,1.0
high inflation,negative,1.0
higher rates,negative,1.0
holiday demand,positive,1.0
inflation,negative,1.0
inflation hedge,positive,1.0
innovation,positive,1.0
insolvency,negative,1.0
interest rate increase,negative,1.0
inventory buildup,negative,1.0
investigation,negative,1.0
investor optimism,positive,1.0
job cuts,negative,1.0
joint venture,positive,1.0
labor strikes,negative,1.0
lawsuit,negative,1.0
layoffs,negative,1.3
liquidity,positive,1.0
liquidity concerns,negative,1.0
liquidity injection,positive,1.0
loose monetary,positive,1.0
loss,negative,1.0
margin compression,negative,1.0
margin expansion,positive,1.0
market leadership,positive,1.4
market pressure,negative,1.0
market share,positive,1.0
market share loss,negative,1.4
merger,positive,1.0
mining costs,negative,1.0
mining output,positive,1.0
miss expectations,negative,1.0
moat,positive,1.0
momentum,positive,1.0
monetary stimulus,positive,1.0
new product launch,positive,1.2
operational issues,negative,1.0
optimism,positive,1.0
order backlog,positive,1.0
ore grade,positive,1.0
outperform,positive,1.0
outlook reduced,negative,1.0
panic,negative,1.0
partnership,positive,1.0
partnership deal,positive,1.2
patent,positive,1.0
pboc,positive,1.0
permit delays,negative,1.0
pessimism,negative,1.0
platform outage,negative,1.0
plunge,negative,1.0
policy uncertainty,negative,1.0
positive outlook,positive,1.3
positive sentiment,positive,1.0
precious metals,positive,1.0
pricing pressure,negative,1.0
production cuts,negative,1.0
profit growth,positive,1.0
profit warning,negative,1.5
qe,positive,1.0
qe taper,negative,1.0
qt,negative,1.0
quantitative easing,positive,1.0
quantitative tightening,negative,1.0
rally,positive,1.0
rate cuts,positive,1.0
rate hikes,negative,1.0
rate reduction,positive,1.0
rebound,positive,1.0
recall,negative,1.0
recession,negative,1.0
record revenue,positive,1.5
recovery,positive,1.0
regulatory action,negative,1.0
regulatory approval,positive,1.0
regulatory probe,negative,1.3
regulatory setback,negative,1.0
resilience,positive,1.0
resource expansion,positive,1.0
restructuring,negative,1.0
restrictive policy,negative,1.0
retail sales,positive,1.0
revenue decline,negative,1.0
revenue growth,positive,1.0
rising prices,negative,1.0
risk,negative,1.0
risk-off,negative,1.0
robust,positive,1.0
safe haven,positive,1.0
sanctions,negative,1.0
sell rating,negative,1.0
sell-off,negative,1.0
semiconductor shortage,negative,1.0
share buyback,positive,1.0
share dilution,negative,1.0
shortage,negative,1.0
slowdown,negative,1.0
software upgrade,positive,1.0
solid,positive,1.0
spending slowdown,negative,1.0
stable,positive,1.0
stimulus,positive,1.0
stock split,positive,1.0
strength,positive,1.0
strong buy,positive,1.0
strong earnings,positive,1.0
strong forecast,positive,1.4
strong thesis,positive,1.0
supply chain,negative,1.0
surge,positive,1.0
takeover,positive,1.0
tapering,negative,1.0
tariffs,negative,1.0
tech layoffs,negative,1.0
tightening,negative,1.0
trade war,negative,1.0
treatment efficacy,positive,1.0
uncertainty,negative,1.0
underperform,negative,1.0
unstable,negative,1.0
upgrade,positive,1.0
vaccine rollout,positive,1.0
volatility,negative,1.0
vulnerable,negative,1.0
weak demand,negative,1.0
weak earnings,negative,1.0
weak forecast,negative,1.4
weakness,negative,1.0
workforce reduction,negative,1.0